fold,model,train_period,valid_season,raw_feature_count,transformed_feature_count,pitcher_id,penalty,C,l1_ratio,solver,overall_brier,known_brier,unknown_brier,overall_logloss,coef_total_count,coef_nonzero_count,coef_zero_count,coefficient_sparsity,n_iter,converged,convergence_warning,warning_message,preprocess_seconds,fit_seconds,predict_seconds
3,LR-C-Historical,2019~2023,2024,46,842,False,elasticnet,10.0,0.25,saga,0.24923100182227048,0.249486264471591,0.24820099259502557,0.6916290406831421,842,842,0,0.0,18,True,False,,21.46951528199861,163.04876918399896,0.04187923100107582
1,LR-C-Historical,2019~2021,2022,46,683,False,elasticnet,100.0,0.25,saga,0.24479714952234422,0.24493595862996706,0.24405402364969356,0.68255608999613,683,683,0,0.0,41,True,False,,12.647727327999746,192.0394908899998,0.03600561299936089
2,LR-C-Historical,2019~2022,2023,46,771,False,elasticnet,100.0,0.25,saga,0.2501012241707864,0.250120972644043,0.24997784896801958,0.6934309674720138,771,771,0,0.0,20,True,False,,17.471264092000638,135.5853845269994,0.03865302600024734
3,LR-C-Historical,2019~2023,2024,46,842,False,elasticnet,100.0,0.25,saga,0.24921546264054298,0.24946554367866175,0.24820636171055202,0.6915976326389567,842,842,0,0.0,15,True,False,,21.46951528199861,136.13871497199943,0.04245329800323816
1,LR-C-Historical,2019~2021,2022,46,683,False,elasticnet,0.001,0.5,saga,0.24488728133712184,0.24502887676023896,0.2441292386973467,0.6827401111222205,683,45,638,0.9341142020497804,27,True,False,,12.647727327999746,54.51295811199998,0.032079243999760365
2,LR-C-Historical,2019~2022,2023,46,771,False,elasticnet,0.001,0.5,saga,0.24990593415387904,0.24991980747950826,0.2498192629292065,0.6930176940572566,771,44,727,0.9429312581063554,50,True,False,,17.471264092000638,133.09236147199772,0.04360651900060475
3,LR-C-Historical,2019~2023,2024,46,842,False,elasticnet,0.001,0.5,saga,0.24911384167390713,0.24936556859088052,0.24809809946517233,0.6913855903575421,842,45,797,0.9465558194774347,22,True,False,,21.46951528199861,75.4827130090016,0.03862543099967297
1,LR-C-Historical,2019~2021,2022,46,683,False,elasticnet,0.01,0.5,saga,0.24485827284282743,0.24498370088988344,0.24418678356867565,0.6826780265884693,683,137,546,0.7994143484626647,45,True,False,,12.647727327999746,107.47789908900086,0.04432970500056399
2,LR-C-Historical,2019~2022,2023,46,771,False,elasticnet,0.01,0.5,saga,0.2499257093355327,0.2499341699751026,0.24987285293955144,0.6930662258943181,771,153,618,0.8015564202334631,35,True,False,,17.471264092000638,115.10000155099988,0.038711959998181555
3,LR-C-Historical,2019~2023,2024,46,842,False,elasticnet,0.01,0.5,saga,0.2491799667157944,0.24943295167415905,0.24815914818960824,0.6915229802847366,842,162,680,0.8076009501187649,26,True,False,,21.46951528199861,108.91316041800019,0.04164025399950333
1,LR-C-Historical,2019~2021,2022,46,683,False,elasticnet,0.1,0.5,saga,0.24484201025669264,0.24496553374421465,0.24418071719725645,0.6826442602236908,683,448,235,0.3440702781844802,23,True,False,,12.647727327999746,83.40649827500056,0.046824326000205474
2,LR-C-Historical,2019~2022,2023,46,771,False,elasticnet,0.1,0.5,saga,0.2499732711125277,0.2499820676612386,0.24991831618174654,0.6931669493680073,771,498,273,0.3540856031128405,25,True,False,,17.471264092000638,130.42641089600147,0.05052756000077352
3,LR-C-Historical,2019~2023,2024,46,842,False,elasticnet,0.1,0.5,saga,0.24920124442703512,0.24945386569981484,0.24818189340700172,0.6915676544104016,842,567,275,0.32660332541567694,16,True,False,,21.46951528199861,111.38708600999962,0.04152441400219686
1,LR-C-Historical,2019~2021,2022,46,683,False,elasticnet,1.0,0.5,saga,0.24482074298981185,0.24495272571925195,0.2441141626892131,0.682602801822572,683,667,16,0.02342606149341142,19,True,False,,12.647727327999746,86.85837113199887,0.0441402950000338
2,LR-C-Historical,2019~2022,2023,46,771,False,elasticnet,1.0,0.5,saga,0.25002137928510243,0.25003328453214113,0.2499470032941936,0.6932646915356213,771,741,30,0.038910505836575876,26,True,False,,17.471264092000638,170.43674766999902,0.049606798998866
3,LR-C-Historical,2019~2023,2024,46,842,False,elasticnet,1.0,0.5,saga,0.2492114484496117,0.24946462835347102,0.248189843299692,0.6915890461059088,842,815,27,0.032066508313539195,19,True,False,,21.46951528199861,166.39677171800213,0.0411107500003709
1,LR-C-Historical,2019~2021,2022,46,683,False,elasticnet,10.0,0.5,saga,0.2448030311973895,0.24493903880233436,0.24407490339768995,0.6825674028604706,683,683,0,0.0,19,True,False,,12.647727327999746,89.78529328699915,0.037180363999141264
2,LR-C-Historical,2019~2022,2023,46,771,False,elasticnet,10.0,0.5,saga,0.2500708306888772,0.25008781203610725,0.2499647426318138,0.6933656237804927,771,770,1,0.0012970168612191958,23,True,False,,17.471264092000638,155.29016017699905,0.039110607001930475
3,LR-C-Historical,2019~2023,2024,46,842,False,elasticnet,10.0,0.5,saga,0.24923054912527062,0.24948621586053374,0.24819890937256345,0.691628148185638,842,842,0,0.0,18,True,False,,21.46951528199861,161.6118961309985,0.04296374499972444
1,LR-C-Historical,2019~2021,2022,46,683,False,elasticnet,100.0,0.5,saga,0.24479587632075694,0.2449347086174282,0.24405262630364544,0.682553094235985,683,683,0,0.0,41,True,False,,12.647727327999746,192.49129857800108,0.039523876999737695
2,LR-C-Historical,2019~2022,2023,46,771,False,elasticnet,100.0,0.5,saga,0.2501001454022781,0.25011947862497885,0.24997936440620577,0.6934276008547017,771,771,0,0.0,28,True,False,,17.471264092000638,189.59567355599938,0.04228429900103947
3,LR-C-Historical,2019~2023,2024,46,842,False,elasticnet,100.0,0.5,saga,0.24921505598731689,0.2494654903476089,0.24820452936853238,0.6915968442300786,842,842,0,0.0,15,True,False,,21.46951528199861,135.9698113409977,0.041731783996510785
1,LR-C-Historical,2019~2021,2022,46,683,False,elasticnet,0.001,0.75,saga,0.24487114142589386,0.24501322418859328,0.24411048977394004,0.6827056155514883,683,36,647,0.9472913616398243,27,True,False,,12.647727327999746,54.19953914800135,0.03395583400015312
2,LR-C-Historical,2019~2022,2023,46,771,False,elasticnet,0.001,0.75,saga,0.24991740886575448,0.2499328309470398,0.24982106205550011,0.6930412513359954,771,30,741,0.9610894941634242,33,True,False,,17.471264092000638,87.41203166500054,0.03760765699917101
